Event	ID	Name			Wwise Object Path	Notes
	24669046	Debug2D_WhiteNoise_lp_stop			\_Debug\Debug2D\Debug2D_WhiteNoise_lp_stop	
	51787976	Debug2D_100ms			\_Debug\Debug2D\Debug2D_100ms	
	1611159812	Debug_Distance			\_Debug\Debug3D\Debug_Distance	
	2118189552	Debug2D_3000ms_lp_stop			\_Debug\Debug2D\Debug2D_3000ms_lp_stop	
	2306445543	Debug3D_100ms			\_Debug\Debug3D\Debug3D_100ms	
	2323719314	Debug2D_Silence_lp_stop			\_Debug\Debug2D\Debug2D_Silence_lp_stop	
	2464970301	Debug3D_WhiteNoise_lp_start			\_Debug\Debug3D\Debug3D_WhiteNoise_lp_start	
	2586177215	Debug3D_3000ms_lp_start			\_Debug\Debug3D\Debug3D_3000ms_lp_start	
	2840770682	Debug2D_Silence_lp_start			\_Debug\Debug2D\Debug2D_Silence_lp_start	
	3262692124	Debug2D_3000ms_lp_start			\_Debug\Debug2D\Debug2D_3000ms_lp_start	
	3299421430	Debug2D_WhiteNoise_lp_start			\_Debug\Debug2D\Debug2D_WhiteNoise_lp_start	
	4027775167	Debug3D_WhiteNoise_lp_stop			\_Debug\Debug3D\Debug3D_WhiteNoise_lp_stop	
	4044979461	Debug3D_3000ms_lp_stop			\_Debug\Debug3D\Debug3D_3000ms_lp_stop	

Source plug-ins	ID	Name	Type		Wwise Object Path	Notes
	111471719	Tone Generator	Wwise Tone Generator		\Containers\_Debug\Debug2D\Debug_2D_WhiteNoise_lp\Tone Generator	
	123651020	Tone Generator	Wwise Tone Generator		\Containers\_Debug\Debug2D\Debug_2D_Sine440Hz_100ms\Tone Generator	
	384726505	Tone Generator	Wwise Tone Generator		\Containers\_Debug\Debug3D\Debug_3D_WhiteNoise_lp\Tone Generator	
	440737193	Silence	Wwise Silence		\Containers\_Debug\Debug2D\Debug_2D_Silence_lp\Silence	
	501828373	Tone Generator	Wwise Tone Generator		\Containers\_Debug\Debug3D\Debug_3D_Sine220Hz_3000ms_lp\Tone Generator	
	865437512	Tone Generator	Wwise Tone Generator		\Containers\_Debug\Debug2D\Debug_2D_Sine220Hz_3000ms_lp\Tone Generator	
	907261179	Tone Generator	Wwise Tone Generator		\Containers\_Debug\Debug3D\Debug_3D_Sine440Hz_100ms\Tone Generator	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	17932229	DistanceDebug_100	.cache\39\{39C1E8E5-A0C1-AEF7-5B63-11427F65B0AF}.wem		\Containers\_Debug\Debug3D\Debug_3D_Distance\DistanceDebug_100		119916
	25829374	DistanceDebug_170	.cache\54\{54CF1B67-6709-30A3-1868-C3D53A86B5CC}.wem		\Containers\_Debug\Debug3D\Debug_3D_Distance\DistanceDebug_170		199192
	28588062	DistanceDebug_0	.cache\2C\{2C964885-C903-4091-03A3-DF4EE43EF571}.wem		\Containers\_Debug\Debug3D\Debug_3D_Distance\DistanceDebug_0		73464
	48030369	DistanceDebug_200	.cache\57\{576B8395-5E7A-E7FE-8861-175E1B77C0A8}.wem		\Containers\_Debug\Debug3D\Debug_3D_Distance\DistanceDebug_200		108500
	49997267	DistanceDebug_9	.cache\64\{64745757-0A90-9C9C-8826-BE96585567AC}.wem		\Containers\_Debug\Debug3D\Debug_3D_Distance\DistanceDebug_9		100864
	106195816	DistanceDebug_60	.cache\3D\{3D2A796F-5716-2480-E17B-82C38BAE3FE4}.wem		\Containers\_Debug\Debug3D\Debug_3D_Distance\DistanceDebug_60		117248
	113433565	DistanceDebug_80	.cache\16\{16222BFC-E154-8F21-CF89-1C3126C52F17}.wem		\Containers\_Debug\Debug3D\Debug_3D_Distance\DistanceDebug_80		79292
	173862396	DistanceDebug_85	.cache\6E\{6EE84A5B-7A8B-4CF3-CB39-871B0D57C009}.wem		\Containers\_Debug\Debug3D\Debug_3D_Distance\DistanceDebug_85		141408
	182048868	DistanceDebug_8	.cache\75\{759D03C2-9463-2166-9CE5-893F93A8DEBC}.wem		\Containers\_Debug\Debug3D\Debug_3D_Distance\DistanceDebug_8		63344
	194937607	DistanceDebug_6	.cache\E1\{E121032B-DCC2-E708-741D-6AC62B4AD4B1}.wem		\Containers\_Debug\Debug3D\Debug_3D_Distance\DistanceDebug_6		108656
	205036045	DistanceDebug_110	.cache\E4\{E4E1E36A-2594-1FA2-B30E-4CE3FBB5274E}.wem		\Containers\_Debug\Debug3D\Debug_3D_Distance\DistanceDebug_110		176764
	248113364	DistanceDebug_160	.cache\04\{04FEF4CE-392F-2A58-C0A2-4CADBFAA47EB}.wem		\Containers\_Debug\Debug3D\Debug_3D_Distance\DistanceDebug_160		205196
	275879356	DistanceDebug_140	.cache\F4\{F4763A2C-AC91-3A2D-C56B-6E73DF6ED5C0}.wem		\Containers\_Debug\Debug3D\Debug_3D_Distance\DistanceDebug_140		186500
	281493717	DistanceDebug_90	.cache\69\{69E27860-612A-E193-C6FC-7DA18D1F7292}.wem		\Containers\_Debug\Debug3D\Debug_3D_Distance\DistanceDebug_90		99548
